target_id,symbol,name,score
ENSG00000156515,HK1,hexokinase 1,0.05322360551742689
ENSG00000102145,GATA1,GATA binding protein 1,0.05283305091652441
ENSG00000168769,TET2,tet methylcytosine dioxygenase 2,0.05281712516747334
ENSG00000004939,SLC4A1,solute carrier family 4 member 1 (Diego blood group),0.05273978647643773
ENSG00000105675,ATP4A,ATPase H+/K+ transporting subunit alpha,0.052597578308019304
ENSG00000068724,TTC7A,tetratricopeptide repeat domain 7A,0.05209007330478769
ENSG00000185811,IKZF1,IKAROS family zinc finger 1,0.0517606667803072
ENSG00000134333,LDHA,lactate dehydrogenase A,0.05169498217402267
ENSG00000115107,STEAP3,STEAP3 metalloreductase,0.05168140832724866
ENSG00000005471,ABCB4,ATP binding cassette subfamily B member 4,0.051366945148225936
ENSG00000100225,FBXO7,F-box protein 7,0.05104636952905101
ENSG00000111669,TPI1,triosephosphate isomerase 1,0.0510274798920338
ENSG00000100292,HMOX1,heme oxygenase 1,0.05035640435669106
ENSG00000049768,FOXP3,forkhead box P3,0.04988368157232002
ENSG00000118513,MYB,"MYB proto-oncogene, transcription factor",0.049659791863608
ENSG00000167815,PRDX2,peroxiredoxin 2,0.04904956037251079
ENSG00000096968,JAK2,Janus kinase 2,0.04892539180744381
ENSG00000159023,EPB41,erythrocyte membrane protein band 4.1,0.04885476099077073
ENSG00000109787,KLF3,KLF transcription factor 3,0.048765240537080444
ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase,0.048738343336545045
ENSG00000254087,LYN,"LYN proto-oncogene, Src family tyrosine kinase",0.048607553132414966
ENSG00000097007,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0.04859975089103829
ENSG00000116044,NFE2L2,NFE2 like bZIP transcription factor 2,0.048582692224444994
ENSG00000147894,C9orf72,C9orf72-SMCR8 complex subunit,0.04846454626086614
ENSG00000181929,PRKAG1,protein kinase AMP-activated non-catalytic subunit gamma 1,0.0484278962586099
ENSG00000013375,PGM3,phosphoglucomutase 3,0.04801653334813168
ENSG00000187045,TMPRSS6,transmembrane serine protease 6,0.047600858672682135
ENSG00000109471,IL2,interleukin 2,0.04751729256109509
ENSG00000179588,ZFPM1,"zinc finger protein, FOG family member 1",0.047395741853332125
ENSG00000159216,RUNX1,RUNX family transcription factor 1,0.04707892978901074
ENSG00000105610,KLF1,KLF transcription factor 1,0.04707871957684944
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase 2,0.046751851617614776
ENSG00000157404,KIT,"KIT proto-oncogene, receptor tyrosine kinase",0.0466594566539436
ENSG00000095303,PTGS1,prostaglandin-endoperoxide synthase 1,0.04619748183558772
ENSG00000196262,PPIA,peptidylprolyl isomerase A,0.04619748183558772
ENSG00000160752,FDPS,farnesyl diphosphate synthase,0.04619748183558772
ENSG00000105220,GPI,glucose-6-phosphate isomerase,0.04592440338740403
ENSG00000158457,TSPAN33,tetraspanin 33,0.04582051038380932
ENSG00000101191,DIDO1,death inducer-obliterator 1,0.045380710356734535
ENSG00000188690,UROS,uroporphyrinogen III synthase,0.04532465741210735
ENSG00000144136,SLC20A1,solute carrier family 20 member 1,0.045240270011954346
ENSG00000177409,SAMD9L,sterile alpha motif domain containing 9 like,0.04511646076063497
ENSG00000148346,LCN2,lipocalin 2,0.04509464528310151
ENSG00000163864,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,0.04509059017080704
ENSG00000283819,MIR144,microRNA 144,0.04506595151382807
ENSG00000284565,MIR451A,microRNA 451a,0.04506595151382807
ENSG00000104765,BNIP3L,BCL2 interacting protein 3 like,0.045046240588244885
ENSG00000259207,ITGB3,integrin subunit beta 3,0.04467481283428676
ENSG00000138190,EXOC6,exocyst complex component 6,0.04463046325172459
ENSG00000165704,HPRT1,hypoxanthine phosphoribosyltransferase 1,0.044591657366982694
ENSG00000087074,PPP1R15A,protein phosphatase 1 regulatory subunit 15A,0.044551003582967375
ENSG00000133103,COG6,component of oligomeric golgi complex 6,0.04403728758495564
ENSG00000134086,VHL,von Hippel-Lindau tumor suppressor,0.043876520348167795
ENSG00000189030,VHLL,VHL like,0.043876520348167795
ENSG00000112305,SMAP1,small ArfGAP 1,0.043693578320098875
ENSG00000123338,NCKAP1L,NCK associated protein 1 like,0.04363259764407589
ENSG00000032219,ARID4A,AT-rich interaction domain 4A,0.043553137975318686
ENSG00000085063,CD59,CD59 molecule (CD59 blood group),0.04315029593371236
ENSG00000281887,GIMAP1-GIMAP5,GIMAP1-GIMAP5 readthrough,0.043002463991838484
ENSG00000196329,GIMAP5,"GTPase, IMAP family member 5",0.043002463991838484
ENSG00000152518,ZFP36L2,ZFP36 like 2 zinc finger CCCH-type,0.04269571271245018
ENSG00000100600,LGMN,legumain,0.042623644640786655
ENSG00000166947,EPB42,erythrocyte membrane protein band 4.2,0.04260146984950557
ENSG00000110911,SLC11A2,solute carrier family 11 member 2,0.04259038245386504
